X,Y
25.23,41.09
45.1,35.69
26.59,37.21
27.8,36.93
28.56,40.21
29.49,43.05
30.04,38.33
31.25,39.03
31.35,40.98
42.95,30.91
37.3,38.42
37.39,43.69
32.53,52.18
33.6,42.2
24.6,37.88
33.76,53.6
34.97,54.72
35.84,57.04
47.16,31.52
36.58,55.76
46.82,34.33
46.98,38.03
45.34,33.02
45.7,36.63
48.12,54.53
47.25,51.99
38.48,56.41
34.1,58.45
39.81,49.98
40.47,43.18
40.66,46.02
41.59,48.86
42.05,46.89
43.04,43.52
43.34,50.49
44.17,48.94
44.23,52.81
45.19,52.05
46.68,55.59
47.98,56.47
